Model,Year,Kilometers,Fuel_Type,Price
Honda Accord 2.4 AT,2009,101867, Petrol ,2900
Honda Accord 2.4 AT,2009,97241, Petrol ,3000
Honda Accord 2.4 AT,2009,64533, Petrol ,3200
Honda Accord 2.4 AT,2009,63000, Petrol ,3300
Honda Accord 2.4 AT,2010,100000, Petrol ,3100
Honda Accord 2.4 AT,2010,100000, Petrol ,3150
Honda Accord 2.4 AT,2010,82000, Petrol ,3300
Honda Accord 2.4 AT,2010,67000, Petrol ,3500
Honda Accord 2.4 AT,2010,60000, Petrol ,3550
Honda Accord 2.4 AT,2010,58000, Petrol ,3600
Honda Accord 2.4 AT,2010,50000, Petrol ,4000
Honda Accord 2.4 AT,2011,67507, Petrol ,5000
Honda Accord 2.4 AT,2011,39000, Petrol ,5500
Honda Amaze S Petrol,2007,130000, Petrol ,2000
Honda Amaze S Petrol,2013,71644, Petrol ,5000
Honda Amaze S Petrol,2013,48000, Petrol ,2450
Honda Amaze S Petrol,2013,36455, Petrol ,4450
Honda Amaze S Petrol,2013,25025, Petrol ,4150
Honda Amaze S Petrol,2014,138942, Petrol ,2500
Honda Amaze S Petrol,2014,117000, Petrol ,2800
Honda Amaze S Petrol,2014,87401, Petrol ,3100
Honda Amaze S Petrol,2014,74000, Petrol ,3890
Honda Amaze S Petrol,2014,60000, Petrol ,4350
Honda Amaze S Petrol,2014,55688, Petrol ,3800
Honda Amaze S Petrol,2014,54955, Petrol ,4650
Honda Amaze S Petrol,2014,44688, Petrol ,4500
Honda Amaze S Petrol,2014,40748, Petrol ,3700
Honda Amaze S Petrol,2014,35200, Petrol ,3700
Honda Amaze S Petrol,2014,30692, Petrol ,3950
Honda Amaze S Petrol,2014,20663, Petrol ,4250
Honda Amaze S Petrol,2014,17815, Petrol ,4500
Honda Amaze S Petrol,2015,126637, Petrol ,3000
Honda Amaze S Petrol,2015,88000, Petrol ,4490
Honda Amaze S Petrol,2015,86000, Petrol ,4300
Honda Amaze S Petrol,2015,81000, Petrol ,3930
Honda Amaze S Petrol,2015,71561, Petrol ,3800
Honda Amaze S Petrol,2015,65041, Petrol ,4090
Honda Amaze S Petrol,2015,64183, Petrol ,3560
Honda Amaze S Petrol,2015,61314, Petrol ,5060
Honda Amaze S Petrol,2015,56616, Petrol ,3990
Honda Amaze S Petrol,2015,46067, Petrol ,4750
Honda Amaze S Petrol,2015,31135, Petrol ,4800
Honda Amaze S Petrol,2015,31111, Petrol ,4000
Honda Amaze S Petrol,2015,30041, Petrol ,4800
Honda Amaze S Petrol,2015,19673, Petrol ,3500
Honda Amaze S Petrol,2016,88008, Petrol ,4800
Honda Amaze S Petrol,2016,73494, Petrol ,4230
Honda Amaze S Petrol,2016,70000, Petrol ,3000
Honda Amaze S Petrol,2016,60000, Petrol ,4590
Honda Amaze S Petrol,2016,60000, Petrol ,4100
Honda Amaze S Petrol,2016,57571, Petrol ,4150
Honda Amaze S Petrol,2016,55000, Petrol ,4250
Honda Amaze S Petrol,2016,51179, Petrol ,6000
Honda Amaze S Petrol,2016,43987, Petrol ,3920
Honda Amaze S Petrol,2016,40831, Petrol ,4500
Honda Amaze S Petrol,2016,33397, Petrol ,3590
Honda Amaze S Petrol,2016,31500, Petrol ,4250
Honda Amaze S Petrol,2016,31500, Petrol ,4250
Honda Amaze S Petrol,2017,94423, Petrol ,3150
Honda Amaze S Petrol,2017,45556, Petrol ,5000
Honda Amaze S Petrol,2017,42644, Petrol ,4360
Honda Amaze S Petrol,2017,39735, Petrol ,5100
Honda Amaze S Petrol,2017,39735, Petrol ,5100
Honda Amaze S Petrol,2017,34721, Petrol ,5500
Honda Amaze S Petrol,2017,30000, Petrol ,5000
Honda Amaze S Petrol,2017,30000, Petrol ,4500
Honda Amaze S Petrol,2017,30000, Petrol ,4500
Honda Amaze S Petrol,2017,25086, Petrol ,5680
Honda Amaze S Petrol,2017,23239, Petrol ,4500
Honda Amaze S Petrol,2017,21000, Petrol ,4990
Honda Amaze S Petrol,2017,17000, Petrol ,5750
Honda Amaze S Petrol,2018,72578, Petrol ,6140
Honda Amaze S Petrol,2018,60000, Petrol ,5500
Honda Amaze S Petrol,2018,43326, Petrol ,4850
Honda Amaze S Petrol,2018,43326, Petrol ,4850
Honda Amaze S Petrol,2018,43326, Petrol ,4850
Honda Amaze S Petrol,2019,110785, Petrol ,5500
Honda Amaze S Petrol,2019,87000, Petrol ,6500
Honda Amaze S Petrol,2019,41000, Petrol ,6090
Honda Amaze S Petrol,2019,35000, Petrol ,6280
Honda Amaze S Petrol,2019,34876, Petrol ,6650
Honda Amaze S Petrol,2019,30000, Petrol ,6990
Honda Amaze S Petrol,2019,29461, Petrol ,5500
Honda Amaze S Petrol,2019,22000, Petrol ,6000
Honda Amaze S Petrol,2019,21744, Petrol ,5500
Honda Amaze S Petrol,2019,20121, Petrol ,6140
Honda Amaze S Petrol,2019,13106, Petrol ,6000
Honda Amaze S Petrol,2019,11000, Petrol ,7450
Honda Amaze S Petrol,2020,60714, Petrol ,6900
Honda Amaze S Petrol,2020,60714, Petrol ,6900
Honda Amaze S Petrol,2020,52771, Petrol ,5850
Honda Amaze S Petrol,2020,32093, Petrol ,5600
Honda Amaze S Petrol,2020,30405, Petrol ,6500
Honda Amaze S Petrol,2020,27500, Petrol ,8750
Honda Amaze S Petrol,2020,26504, Petrol ,5870
Honda Amaze S Petrol,2020,21795, Petrol ,6300
Honda Amaze S Petrol,2020,20000, Petrol ,6100
Honda Amaze S Petrol,2020,10000, Petrol ,6700
Honda Amaze S Petrol,2020,10000, Petrol ,6500
Honda Amaze S Petrol,2021,15000, Petrol ,7510
Honda Amaze S Petrol,2021,7909, Petrol ,7000
Honda Amaze S Petrol,2021,2867, Petrol ,7500
Honda Amaze S Petrol,2021,2000, Petrol ,6500
Honda Amaze S Petrol,2022,20000, Petrol ,7500
Honda Amaze S Petrol,2022,20000, Petrol ,8150
Honda Amaze S Petrol,2022,15000, Petrol ,8000
Honda Amaze S Petrol,2022,2758, Petrol ,7000
Honda Amaze S Petrol,2023,5000, Petrol ,7000
Honda Amaze VX CVT,2013,109350, Petrol ,3650
